"id","publication_year","first_author","display_name","Label"
"https://openalex.org/W4235023594","1897",NA,"The Path of the Law","NA, 1897"
"https://openalex.org/W4235314030","2015","Alexander Brown","Hate Speech Law","Brown, 2015"
"https://openalex.org/W4235738654","1994","Jeremy Waldron","Vagueness in Law and Language: Some Philosophical Issues","Waldron, 1994"
"https://openalex.org/W4236123093","2015","Adam Slavny","HARMLESS DISCRIMINATION","Slavny, 2015"
"https://openalex.org/W4236324580","1975","Ronald Dworkin","Hard Cases","Dworkin, 1975"
"https://openalex.org/W4237015412","1985","Wojciech Sadurski","Giving Desert Its Due","Sadurski, 1985"
"https://openalex.org/W4237034108","1985","H. L. A. Hart","Causation in the Law","Hart, 1985"
"https://openalex.org/W4237574036","1979","Joseph Raz","The authority of lawEssays on law and morality","Raz, 1979"
"https://openalex.org/W423791822","1983","Roberto Mangabeira Unger","The Critical Legal Studies Movement","Unger, 1983"
"https://openalex.org/W4237918656","2008","T. M. Scanlon","Moral Dimensions","Scanlon, 2008"
"https://openalex.org/W4237939084","1988","Jeffrie G. Murphy","Forgiveness and Mercy","Murphy, 1988"
"https://openalex.org/W4238122577","1931","Karl N. Llewellyn","Some Realism about Realism: Responding to Dean Pound","Llewellyn, 1931"
"https://openalex.org/W4239043303","2006","Alfred R. Mele","Free Will and Luck","Mele, 2006"
"https://openalex.org/W4239664074","1971","Carlos E. Alchourrón","Normative Systems","NA, 1971"
"https://openalex.org/W4240161594","2011","Neil Levy","Hard Luck","Levy, 2011"
"https://openalex.org/W4240540997","1997","Immanuel Kant","Lectures on Ethics","Kant, 1997"
"https://openalex.org/W4240732435","1967","Ronald Dworkin","The Model of Rules","Dworkin, 1967"
"https://openalex.org/W4241148440","2013","Manuel Vargas","Building Better Beings","Vargas, 2013"
"https://openalex.org/W4241748390","2000","Christopher Kutz","Complicity","Kutz, 2000"
"https://openalex.org/W4241981878","2002","David Rodin","War and Self-Defense","Rodin, 2002"
"https://openalex.org/W4242091048","2009","Michael S. Moore","Causation and Responsibility","Moore, 2009"
"https://openalex.org/W4242253440","2016","Kenneth M. Ehrenberg","The Functions of Law","Ehrenberg, 2016"
"https://openalex.org/W4242431379","1986","RONALD DWORKIN","A Matter of Principle","NA, 1986"
"https://openalex.org/W4242437658","1980","Joseph Raz","The Concept of a Legal System","Raz, 1980"
"https://openalex.org/W4242728701","2008","James Griffin","On Human Rights","Griffin, 2008"
"https://openalex.org/W4243028012","2000","Jon Elster","Ulysses Unbound","Elster, 2000"
"https://openalex.org/W4244512580","1985","Sanford H. Kadish","Complicity, Cause and Blame: A Study in the Interpretation of Doctrine","Kadish, 1985"
"https://openalex.org/W4244688936","2012","John Gardner","Law as a Leap of Faith","Gardner, 2012"
"https://openalex.org/W4245950606","1993","Frederick Schauer","Playing by the Rules","Schauer, 1993"
"https://openalex.org/W4246185708","2009","Anna Stilz","Liberal Loyalty","Stilz, 2009"
"https://openalex.org/W4246409490","2011","Scott J. Shapiro","Legality","Shapiro, 2011"
"https://openalex.org/W4247016965","2009","George Sher","Who Knew?","Sher, 2009"
"https://openalex.org/W4247328545","2007","Brian Leiter","Naturalizing Jurisprudence","Leiter, 2007"
"https://openalex.org/W4247705233","2005","Neil MacCormick","Rhetoric and The Rule of Law","Cormick, 2005"
"https://openalex.org/W4249137940","2007","F. M. Kamm","Intricate Ethics","Kamm, 2007"
"https://openalex.org/W4249660273","2009","Andrei Marmor","Social Conventions","Marmor, 2009"
"https://openalex.org/W4250874723","1973","John Kleinig","Punishment and Desert","Kleinig, 1973"
"https://openalex.org/W4252041694","1987","Leo Katz","Bad Acts and Guilty Minds","Katz, 1987"
"https://openalex.org/W4252382080","2009","Jeff McMahan","Killing in War","Mahan, 2009"
"https://openalex.org/W4252746852","2005","Andrew von Hirsch","Proportionate Sentencing","Hirsch, 2005"
"https://openalex.org/W4253213974","2011","Victor Tadros","The Ends of HarmThe Moral Foundations of Criminal Law","Tadros, 2011"
"https://openalex.org/W4256146388","2012","Aharon Barak","Proportionality (2)","Barak, 2012"
"https://openalex.org/W4256187362","1983","Holly M. Smith","Culpable Ignorance","Smith, 1983"
"https://openalex.org/W4256377232","2007","Richard L. Lippke","Rethinking Imprisonment","Lippke, 2007"
"https://openalex.org/W4299576614","2012","Michael McKenna","Conversation and Responsibility","Kenna, 2012"
"https://openalex.org/W4300183020","2012","Kai Möller","The Global Model of Constitutional Rights","NA, 2012"
"https://openalex.org/W566113205","2001","Christopher J. Eberle","Religious Conviction in Liberal Politics","Eberle, 2001"
"https://openalex.org/W591567873","2006","Ronald Dworkin","Justice in Robes","Dworkin, 2006"
"https://openalex.org/W591898085","2004","Brian Z. Tamanaha","On the Rule of Law: History, Politics, Theory","Tamanaha, 2004"
"https://openalex.org/W601080578","1974","Stephen J. Schulhofer","Harm and Punishment: A Critique of Emphasis on the Results of Conduct in the Criminal Law","Schulhofer, 1974"
"https://openalex.org/W602185764","2001","Brian Z. Tamanaha","A General Jurisprudence of Law and Society","Tamanaha, 2001"
"https://openalex.org/W608166339","2014","Derk Pereboom","Free Will, Agency, and Meaning in Life","Pereboom, 2014"
"https://openalex.org/W624738686","1984","Jeremy Waldron","Theories of rights","Waldron, 1984"
"https://openalex.org/W641694425","2011","Bruce N. Waller","Against Moral Responsibility","Waller, 2011"
"https://openalex.org/W780916835","1994","Stephen J. Morse","Culpability and Control","Morse, 1994"
"https://openalex.org/W931101581","2015","Joshua Glasgow","The Expressivist Theory of Punishment Defended","Glasgow, 2015"
"https://openalex.org/W612439035","2008",NA,"Democratic authority: a philosophical framework","NA, 2008"
"https://openalex.org/W2125760001","2005","Robert Alexy","Balancing, constitutional review, and representation","Alexy, 2005"
"https://openalex.org/W4214714296","1999","Jeremy Waldron","The Dignity of Legislation","Waldron, 1999"
"https://openalex.org/W4243106458","2017","Jeremy Waldron","A Right-Based Critique of Constitutional Rights†","Waldron, 2017"
"https://openalex.org/W631662096","2009","Aileen Kavanagh","Constitutional Review under the UK Human Rights Act","Kavanagh, 2009"
"https://openalex.org/W36181781","1991","Michael Louis Corrado","Notes on the Structure of a Theory of Excuses","Corrado, 1991"
"https://openalex.org/W55672654","1986","Randy E. Barnett","A Consent Theory of Contract","Barnett, 1986"
"https://openalex.org/W2500852618","1998","S. L. Marshall","Criminalization and Sharing Wrongs","Marshall, 1998"
"https://openalex.org/W2476417175","1991","Mike McDonald","Should Communities Have Rights? Reflections on Liberal Individualism","Donald, 1991"
"https://openalex.org/W3122213749","1988","Denise G. Reaume","Individuals, Groups, and Rights to Public Goods","Reaume, 1988"
"https://openalex.org/W2796328480","1982","Peter Westen","The Empty Idea of Equality","Westen, 1982"
"https://openalex.org/W2156017621","2003","G. A. Cohen","Facts and Principles","Cohen, 2003"
"https://openalex.org/W4213273311","2008","Carl Schmitt","Constitutional Theory","Schmitt, 2008"
"https://openalex.org/W2601198735","2001","Tony Honoré","Responsibility and Fault","NA, 2001"
"https://openalex.org/W937120752","1986","Hans Kelsen","Teoría pura del derecho","Kelsen, 1986"
"https://openalex.org/W2508633680","1982","Richard Burgh","Do the Guilty Deserve Punishment?","Burgh, 1982"
"https://openalex.org/W606236685","2009","Lawrence A. Alexander","Crime and Culpability: A Theory of Criminal Law","Alexander, 2009"
"https://openalex.org/W4255738592","1976","Duncan F. Kennedy","Form and Substance in Private Law Adjudication","Kennedy, 1976"
"https://openalex.org/W3123601285","2012","John Oberdiek","THE MORAL SIGNIFICANCE OF RISKING","Oberdiek, 2012"
"https://openalex.org/W771844476","2000","David Lewis","Causation as Influence","Lewis, 2000"
"https://openalex.org/W2068516104","2012","S. Matthew Liao","Intentions and Moral Permissibility: The Case of Acting Permissibly with Bad Intentions","Liao, 2012"
