"","Source","Target","weight"
"298","https://openalex.org/A2573600792","https://openalex.org/A2573854636",4
"299","https://openalex.org/A2573600792","https://openalex.org/A2574457369",4
"300","https://openalex.org/A2573600792","https://openalex.org/A2574999368",4
"301","https://openalex.org/A2573600792","https://openalex.org/A2575561235",4
"302","https://openalex.org/A2573600792","https://openalex.org/A2575931262",4
"303","https://openalex.org/A2573600792","https://openalex.org/A2577156896",4
"304","https://openalex.org/A2573600792","https://openalex.org/A2577644480",4
"305","https://openalex.org/A2573600792","https://openalex.org/A2577742959",4
"306","https://openalex.org/A2573600792","https://openalex.org/A2579409041",4
"307","https://openalex.org/A2573854636","https://openalex.org/A2574457369",4
"308","https://openalex.org/A2573854636","https://openalex.org/A2574999368",4
"309","https://openalex.org/A2573854636","https://openalex.org/A2575561235",4
"310","https://openalex.org/A2573854636","https://openalex.org/A2575931262",4
"311","https://openalex.org/A2573854636","https://openalex.org/A2577156896",4
"312","https://openalex.org/A2573854636","https://openalex.org/A2577644480",4
"313","https://openalex.org/A2573854636","https://openalex.org/A2577742959",4
"314","https://openalex.org/A2573854636","https://openalex.org/A2579409041",4
"315","https://openalex.org/A2574457369","https://openalex.org/A2574999368",4
"316","https://openalex.org/A2574457369","https://openalex.org/A2575561235",4
"317","https://openalex.org/A2574457369","https://openalex.org/A2575931262",4
"318","https://openalex.org/A2574457369","https://openalex.org/A2577156896",4
"319","https://openalex.org/A2574457369","https://openalex.org/A2577644480",4
"320","https://openalex.org/A2574457369","https://openalex.org/A2577742959",4
"321","https://openalex.org/A2574457369","https://openalex.org/A2579409041",4
"322","https://openalex.org/A2574999368","https://openalex.org/A2575561235",4
"323","https://openalex.org/A2574999368","https://openalex.org/A2575931262",4
"324","https://openalex.org/A2574999368","https://openalex.org/A2577156896",4
"325","https://openalex.org/A2574999368","https://openalex.org/A2577644480",4
"326","https://openalex.org/A2574999368","https://openalex.org/A2577742959",4
"327","https://openalex.org/A2574999368","https://openalex.org/A2579409041",4
"328","https://openalex.org/A2575561235","https://openalex.org/A2575931262",4
"329","https://openalex.org/A2575561235","https://openalex.org/A2577156896",4
"330","https://openalex.org/A2575561235","https://openalex.org/A2577644480",4
"331","https://openalex.org/A2575561235","https://openalex.org/A2577742959",4
"332","https://openalex.org/A2575561235","https://openalex.org/A2579409041",4
"333","https://openalex.org/A2575931262","https://openalex.org/A2577156896",4
"334","https://openalex.org/A2575931262","https://openalex.org/A2577644480",4
"335","https://openalex.org/A2575931262","https://openalex.org/A2577742959",4
"336","https://openalex.org/A2575931262","https://openalex.org/A2579409041",4
"337","https://openalex.org/A2577156896","https://openalex.org/A2577644480",4
"338","https://openalex.org/A2577156896","https://openalex.org/A2577742959",4
"339","https://openalex.org/A2577156896","https://openalex.org/A2579409041",4
"340","https://openalex.org/A2577644480","https://openalex.org/A2577742959",4
"341","https://openalex.org/A2577644480","https://openalex.org/A2579409041",4
"342","https://openalex.org/A2577742959","https://openalex.org/A2579409041",4
"343","https://openalex.org/A2600171451","https://openalex.org/A56287076",4
"344","https://openalex.org/A2631453635","https://openalex.org/A2688570141",4
"345","https://openalex.org/A2631453635","https://openalex.org/A3121746383",4
"346","https://openalex.org/A2651538346","https://openalex.org/A3024438825",4
"347","https://openalex.org/A2651538346","https://openalex.org/A308024061",4
"348","https://openalex.org/A2651538346","https://openalex.org/A3213035173",4
"349","https://openalex.org/A2658514251","https://openalex.org/A2659810571",4
"350","https://openalex.org/A2658514251","https://openalex.org/A2720082273",4
"351","https://openalex.org/A2658514251","https://openalex.org/A2722547266",4
"352","https://openalex.org/A2658514251","https://openalex.org/A3022811396",4
"353","https://openalex.org/A2659810571","https://openalex.org/A2720082273",4
"354","https://openalex.org/A2659810571","https://openalex.org/A2722547266",4
"355","https://openalex.org/A2659810571","https://openalex.org/A3022811396",4
"356","https://openalex.org/A2688570141","https://openalex.org/A3121746383",4
"357","https://openalex.org/A2704582080","https://openalex.org/A2704907097",4
"358","https://openalex.org/A2719240270","https://openalex.org/A3129067414",4
"359","https://openalex.org/A2720082273","https://openalex.org/A2722547266",4
"360","https://openalex.org/A2720082273","https://openalex.org/A3022811396",4
"361","https://openalex.org/A2722547266","https://openalex.org/A3022811396",4
"362","https://openalex.org/A3006637088","https://openalex.org/A3031924464",4
"363","https://openalex.org/A3006637088","https://openalex.org/A3094614328",4
"364","https://openalex.org/A3024438825","https://openalex.org/A308024061",4
"365","https://openalex.org/A3024438825","https://openalex.org/A3213035173",4
