X.2,X.1,item,id,display_name,ror,country_code,type,X,group
140,659,https://openalex.org/W3029562302,https://openalex.org/I76130692,Zhejiang University,https://ror.org/00a2xv884,CN,education,153,NA
142,662,https://openalex.org/W3042086175,https://openalex.org/I59411706,Adam Mickiewicz University in Poznań,https://ror.org/04g6bbq64,PL,education,156,NA
145,671,https://openalex.org/W3158244511,https://openalex.org/I2279609970,University of Lille,https://ror.org/02kzqn938,FR,education,165,NA
146,672,https://openalex.org/W3158244511,https://openalex.org/I165779595,University of Melbourne,https://ror.org/01ej9dk98,AU,education,166,NA
147,689,https://openalex.org/W3121886542,https://openalex.org/I98677209,University of Edinburgh,https://ror.org/01nrxwf90,GB,education,183,NA
148,773,https://openalex.org/W3136523181,https://openalex.org/I114027177,University of North Carolina at Chapel Hill,https://ror.org/0130frc33,US,education,267,NA
149,777,https://openalex.org/W2953094541,https://openalex.org/I40120149,University of Oxford,https://ror.org/052gg0110,GB,education,271,NA
150,778,https://openalex.org/W2945527870,https://openalex.org/I1174212,University of Southern California,https://ror.org/03taz7m60,US,education,272,NA
151,779,https://openalex.org/W3135665464,NA,"Independent Researcher, Wiltshire, UK",NA,NA,NA,273,NA
152,780,https://openalex.org/W3135665464,https://openalex.org/I135428043,Archer,NA,US,NA,274,NA
153,784,https://openalex.org/W3084149874,https://openalex.org/I55143463,University of Turin,https://ror.org/048tbm396,IT,education,278,NA
154,815,https://openalex.org/W2103085229,https://openalex.org/I109358023,Franciscan University of Steubenville,https://ror.org/00sfnf466,US,education,309,NA
156,817,https://openalex.org/W2054358626,https://openalex.org/I32021983,Kiel University,https://ror.org/04v76ef78,DE,education,311,NA
157,818,https://openalex.org/W2054358626,https://openalex.org/I74656192,University of Göttingen,https://ror.org/01y9bpm73,DE,education,312,NA
158,820,https://openalex.org/W3127920502,https://openalex.org/I2279609970,University of Lille,https://ror.org/02kzqn938,FR,education,314,NA
159,821,https://openalex.org/W3127920502,https://openalex.org/I59411706,Adam Mickiewicz University in Poznań,https://ror.org/04g6bbq64,PL,education,315,NA
160,822,https://openalex.org/W3127920502,NA,"University of Hawai'I Hilo, Hilo, Hawai'i USA.",NA,NA,NA,316,NA
161,835,https://openalex.org/W2922441999,NA,"University of Örebro, Örebro, Sweden",NA,NA,NA,329,NA
163,853,https://openalex.org/W3118988231,https://openalex.org/I46896624,Facultad de Filosofía y Letras,NA,MX,NA,347,NA
164,854,https://openalex.org/W3118988231,https://openalex.org/I99464096,KU Leuven,https://ror.org/05f950310,BE,education,348,NA
165,869,https://openalex.org/W3101798342,https://openalex.org/I157286207,"National University of Ireland, Maynooth",https://ror.org/048nfjm95,IE,education,363,NA
166,870,https://openalex.org/W3101798342,https://openalex.org/I173304897,University of Granada,https://ror.org/04njjy449,ES,education,364,NA
167,872,https://openalex.org/W3107808902,https://openalex.org/I172685059,Pedagogical University of Kraków,https://ror.org/030mz2444,PL,education,366,NA
169,888,https://openalex.org/W3036475711,https://openalex.org/I112862951,University of Messina,https://ror.org/05ctdxz19,IT,education,382,NA
170,895,https://openalex.org/W3095166393,https://openalex.org/I59411706,Adam Mickiewicz University in Poznań,https://ror.org/04g6bbq64,PL,education,389,NA
171,896,https://openalex.org/W3095166393,https://openalex.org/I2279609970,University of Lille,https://ror.org/02kzqn938,FR,education,390,NA
172,903,https://openalex.org/W3092820124,https://openalex.org/I245364917,University of Białystok,https://ror.org/01qaqcf60,PL,education,397,NA
173,929,https://openalex.org/W3047822017,https://openalex.org/I245364917,University of Białystok,https://ror.org/01qaqcf60,PL,education,423,NA
175,932,https://openalex.org/W3010239044,https://openalex.org/I146583814,Mykolas Romeris University,https://ror.org/0052k0e03,LT,education,426,NA
177,934,https://openalex.org/W2949259085,https://openalex.org/I104588304,University of Szczecin,https://ror.org/05vmz5070,PL,education,428,NA
178,935,https://openalex.org/W3004081887,https://openalex.org/I245364917,University of Białystok,https://ror.org/01qaqcf60,PL,education,429,NA
179,953,https://openalex.org/W2940206645,https://openalex.org/I161593684,Stockholm University,https://ror.org/05f0yaq80,SE,education,447,NA
180,964,https://openalex.org/W3039935167,https://openalex.org/I39498419,University of Wasit,https://ror.org/02ee2t316,IQ,education,458,NA
181,966,https://openalex.org/W3039885395,https://openalex.org/I245364917,University of Białystok,https://ror.org/01qaqcf60,PL,education,460,NA
183,972,https://openalex.org/W3022234101,https://openalex.org/I102149020,University of North Carolina at Charlotte,https://ror.org/04dawnj30,US,education,466,NA
184,973,https://openalex.org/W3022234101,https://openalex.org/I138216421,Eastern Michigan University,https://ror.org/02ehshm78,US,education,467,NA
186,976,https://openalex.org/W3029433400,https://openalex.org/I10902133,Jaume I University,https://ror.org/02ws1xc11,ES,education,470,NA
187,977,https://openalex.org/W3029433400,https://openalex.org/I241749,University of Cambridge,https://ror.org/013meh722,GB,education,471,NA
190,1029,https://openalex.org/W2970689354,https://openalex.org/I32021983,Kiel University,https://ror.org/04v76ef78,DE,education,523,NA
191,1034,https://openalex.org/W2982212120,https://openalex.org/I76903346,University of Coimbra,https://ror.org/04z8k9a98,PT,education,528,NA
192,1055,https://openalex.org/W2975644552,https://openalex.org/I592451,Indiana University,https://ror.org/01kg8sb98,US,education,549,NA
193,1057,https://openalex.org/W2974377324,https://openalex.org/I45129253,University College London,https://ror.org/02jx3x895,GB,education,551,NA
194,1059,https://openalex.org/W2465858461,https://openalex.org/I204722609,Queen's University,https://ror.org/02y72wh86,CA,education,553,NA
195,1069,https://openalex.org/W2810866978,https://openalex.org/I241749,University of Cambridge,https://ror.org/013meh722,GB,education,563,NA
196,1071,https://openalex.org/W2899045650,https://openalex.org/I39555362,University of Warwick,https://ror.org/01a77tt86,GB,education,565,NA
197,1076,https://openalex.org/W2884086644,https://openalex.org/I36258959,"University of California, San Diego",https://ror.org/0168r3w48,US,education,570,NA
198,1083,https://openalex.org/W2948386904,https://openalex.org/I126596746,Jagiellonian University,https://ror.org/03bqmcz70,PL,education,577,NA
200,1090,https://openalex.org/W2944160678,NA,"Centro de Estudos Sociais/CES, Colégio de S. Jerónimo, Largo D. Dinis, Coimbra, Portugal",NA,NA,NA,584,NA
201,1094,https://openalex.org/W2910809714,https://openalex.org/I889458895,University of Hong Kong,https://ror.org/02zhqgq86,CN,education,588,NA
202,1095,https://openalex.org/W2893152224,https://openalex.org/I63098007,Liverpool John Moores University,https://ror.org/04zfme737,GB,education,589,NA
203,1098,https://openalex.org/W2955805126,https://openalex.org/I241749,University of Cambridge,https://ror.org/013meh722,GB,education,592,NA
204,1105,https://openalex.org/W2944577498,https://openalex.org/I40120149,University of Oxford,https://ror.org/052gg0110,GB,education,599,NA
205,1110,https://openalex.org/W2943196089,https://openalex.org/I170486558,Pompeu Fabra University,https://ror.org/04n0g0b29,ES,education,604,NA
206,1111,https://openalex.org/W2944098841,https://openalex.org/I71209653,Bocconi University,https://ror.org/05crjpb27,IT,education,605,NA
207,1112,https://openalex.org/W2944098841,https://openalex.org/I189158943,University of Milan,https://ror.org/00wjc7c48,IT,education,606,NA
208,1114,https://openalex.org/W3122014967,https://openalex.org/I76766440,University of San Francisco,https://ror.org/029m7xn54,US,education,608,NA
209,1116,https://openalex.org/W1984113262,https://openalex.org/I56007636,Keele University,https://ror.org/00340yn33,GB,education,610,NA
210,1121,https://openalex.org/W2108264874,NA,William S. Boyd School of Law,NA,NA,NA,615,NA
211,1129,https://openalex.org/W2920409849,NA,"Montreal, Canada",NA,NA,NA,623,NA
