item,position,id,name
https://openalex.org/W2782085470,first,https://openalex.org/A2629370700,Martha Isabel Gómez Vélez
https://openalex.org/W2782085470,middle,https://openalex.org/A2426347744,Dora Cecilia Saldarriaga Grisales
https://openalex.org/W2782085470,middle,https://openalex.org/A2781937497,María Claudia López Gil
https://openalex.org/W2782085470,last,https://openalex.org/A2782237400,Lina María Zapata Botero
https://openalex.org/W2775971451,first,https://openalex.org/A2612049420,William Lucy
https://openalex.org/W2769569590,first,https://openalex.org/A2284128012,Amalia Amaya
https://openalex.org/W2769193416,first,https://openalex.org/A2770583976,Or Bassok
https://openalex.org/W2795345832,first,https://openalex.org/A2795019586,Jesús Ancira Jiménez
https://openalex.org/W2777886924,first,https://openalex.org/A2201980258,Grant Lamond
https://openalex.org/W2776137992,first,https://openalex.org/A2801709597,Paweł Banaś
https://openalex.org/W2776137992,last,https://openalex.org/A2770112043,Filip Gołba
https://openalex.org/W2780152240,first,https://openalex.org/A2147579195,Maksymilian Del Mar
https://openalex.org/W2789939468,first,https://openalex.org/A2793028177,Luis Fernando Barrera
https://openalex.org/W2792792469,first,https://openalex.org/A2791056942,Isabel Calderón Cervera
https://openalex.org/W2792792469,middle,https://openalex.org/A2790514216,Jennifer Arias Sánchez
https://openalex.org/W2792792469,last,https://openalex.org/A2793386608,Carlos Alberto Restrepo Estrada
https://openalex.org/W2769129822,first,https://openalex.org/A2072628154,Bebhinn Donnelly-Lazarov
https://openalex.org/W2793505892,first,https://openalex.org/A2791145239,Carlos Mauricio Agudelo Gallego
https://openalex.org/W2769053816,first,https://openalex.org/A2122916596,Pedro Moniz Lopes
https://openalex.org/W2771008384,first,https://openalex.org/A2308386737,Michael Robertson
https://openalex.org/W2791246415,first,https://openalex.org/A2781788885,Juan David Gelacio Panesso
https://openalex.org/W2789768159,first,https://openalex.org/A2167066792,Omar Huertas Díaz
https://openalex.org/W2789768159,middle,https://openalex.org/A2410173259,Angie Lorena Ruiz Herrera
https://openalex.org/W2789768159,last,https://openalex.org/A2801575872,Nancy Judith Botía Hernández
https://openalex.org/W2792531498,first,https://openalex.org/A2793108754,Juan José Martínez Volkmar
https://openalex.org/W2793355570,first,https://openalex.org/A2794102555,Anyela María Rodríguez Tachack
https://openalex.org/W2792031763,first,https://openalex.org/A2792827381,Helena López González de Orduña
https://openalex.org/W2794146768,first,https://openalex.org/A2789299949,Alejandro Platero Alcón
https://openalex.org/W2560487097,first,https://openalex.org/A2299326928,Brian H. Bix
https://openalex.org/W2768594272,first,https://openalex.org/A120560876,Yossi Nehushtan
https://openalex.org/W2794525092,first,https://openalex.org/A2791086121,Alvaro Ordóñez Guzmán
https://openalex.org/W2742639438,first,https://openalex.org/A2633371340,Jacob Weinrib
https://openalex.org/W2792803313,first,https://openalex.org/A3212302870,Alfonso Ruiz Miguel
https://openalex.org/W2772666487,first,https://openalex.org/A2774245742,Héctor Ignacio Franco Jaramillo
https://openalex.org/W2791225442,first,https://openalex.org/A2794071110,José Rodrigo Flórez Ruiz
https://openalex.org/W2743447709,first,https://openalex.org/A2070409631,Gustavo Arosemena
https://openalex.org/W2993311197,first,https://openalex.org/A2796742964,Armando Estrada Villa
https://openalex.org/W2564081997,first,https://openalex.org/A2335947110,Aaron James
https://openalex.org/W2743382246,first,https://openalex.org/A1973935061,Fábio Perin Shecaira
https://openalex.org/W2789271793,first,https://openalex.org/A2739929793,Ángela Figueruelo
https://openalex.org/W2951523339,first,https://openalex.org/A2685819360,Benjamín Rivaya
https://openalex.org/W2992440652,first,https://openalex.org/A2772578252,Martín Agudelo Ramírez
https://openalex.org/W2774943038,first,https://openalex.org/A2772578252,Martín Agudelo Ramírez
https://openalex.org/W2573377021,first,https://openalex.org/A3024708915,Oliviero Angeli
https://openalex.org/W2774102926,first,https://openalex.org/A2771999785,Juan Gabriel Rojas López
https://openalex.org/W2774953598,first,https://openalex.org/A2772202455,Luis Alberto Gómez Araújo
https://openalex.org/W2795958361,first,https://openalex.org/A2137571560,Modesto Manuel Gómez Alonso
https://openalex.org/W2775100999,first,https://openalex.org/A2771739186,Gerardo Durango Álvarez
https://openalex.org/W2774164840,first,https://openalex.org/A2772578252,Martín Agudelo Ramírez
https://openalex.org/W2994135284,first,https://openalex.org/A2771828453,Alfonso Tito Mejia Restrepo
https://openalex.org/W2796051414,first,https://openalex.org/A2796427707,Luis Guillermo Mesa García
